words,Valence
absent-minded,neg
adventurous,pos
agreeable,neg
ambitious,pos
angry,neg
anxious,neg
artistic,pos
clumsy,neg
cold,neg
competent,pos
confident,pos
cultured,pos
energetic,pos
entertaining,neg
enthusiastic,pos
fashionable,pos
forgetful,neg
friendly,pos
gossipy,neg
happy,pos
helpful,neg
humble,neg
idealistic,pos
impulsive,neg
interesting,pos
lazy,neg
level-headed,neg
lonely,neg
moody,neg
neurotic,neg
nice,pos
outgoing,pos
overcritical,neg
patient,neg
pessimistic,neg
positive,pos
punctual,pos
sad,neg
smart,pos
social,pos
temperamental,neg
thoughtful,pos
tidy,pos
trustworthy,pos
unproductive,neg
warm,pos
well-spoken,pos
withdrawn,neg
