korea,Valence,words
___ __,neg,absent-minded
____,pos,adventurous
agreeable,neg,agreeable
ambitious,pos,ambitious
angry,neg,angry
anxious,neg,anxious
artistic,pos,artistic
clumsy,neg,clumsy
cold,neg,cold
competent,pos,competent
confident,pos,confident
cultured,pos,cultured
energetic,pos,energetic
entertaining,neg,entertaining
enthusiastic,pos,enthusiastic
fashionable,pos,fashionable
forgetful,neg,forgetful
friendly,pos,friendly
gossipy,neg,gossipy
happy,pos,happy
helpful,neg,helpful
humble,neg,humble
idealistic,pos,idealistic
impulsive,neg,impulsive
interesting,pos,interesting
lazy,neg,lazy
level-headed,neg,level-headed
lonely,neg,lonely
moody,neg,moody
neurotic,neg,neurotic
nice,pos,nice
outgoing,pos,outgoing
overcritical,neg,overcritical
patient,neg,patient
____,neg,pessimistic
____,pos,positive
___ ___,pos,punctual
__,neg,sad
___,pos,smart
____,pos,social
_____,neg,temperamental
____,pos,thoughtful
___,pos,tidy
____ __,pos,trustworthy
_____,neg,unproductive
___,pos,warm
well-spoken,pos,well-spoken
withdrawn,neg,withdrawn
