"target","word","valence","fix_sign"
"name1","overcritical","neg","-"
" "," ","ITI","+"
" "," ","ITI","+"
"name2","lonely","neg","-"
"name3","sad","neg","-"
"name6","cold","neg","-"
"SELF","sad","neg","-"
" "," ","ITI","+"
"name4","lazy","neg","-"
" "," ","ITI","+"
"name4","trustworthy","pos","-"
"name3","enthusiastic","pos","-"
"name5","clumsy","neg","-"
"name4","fashionable","pos","-"
" "," ","ITI","+"
" "," ","ITI","+"
"name4","helpful","neg","-"
"name6","lonely","neg","-"
" "," ","ITI","+"
" "," ","ITI","+"
"name1","smart","pos","-"
" "," ","ITI","+"
"name10","humble","neg","-"
" "," ","ITI","+"
"SELF","fashionable","pos","-"
"name9","punctual","pos","-"
" "," ","ITI","+"
" "," ","ITI","+"
"name6","social","pos","-"
"name4","competent","pos","-"
"name7","adventurous","pos","-"
"name8","confident","pos","-"
"name3","nice","pos","-"
" "," ","ITI","+"
" "," ","ITI","+"
"name8","cold","neg","-"
"name8","patient","neg","-"
" "," ","ITI","+"
" "," ","ITI","+"
"name4","absent-minded","neg","-"
"name1","agreeable","neg","-"
" "," ","ITI","+"
"name8","energetic","pos","-"
" "," ","ITI","+"
"name6","idealistic","pos","-"
" "," ","ITI","+"
" "," ","ITI","+"
"name5","trustworthy","pos","-"
" "," ","ITI","+"
" "," ","ITI","+"
"name8","humble","neg","-"
" "," ","ITI","+"
"name1","lonely","neg","-"
"name9","competent","pos","-"
" "," ","ITI","+"
" "," ","ITI","+"
"name10","lazy","neg","-"
" "," ","ITI","+"
" "," ","ITI","+"
"name5","overcritical","neg","-"
" "," ","ITI","+"
"name1","patient","neg","-"
"name1","enthusiastic","pos","-"
" "," ","ITI","+"
"SELF","social","pos","-"
" "," ","ITI","+"
"name2","angry","neg","-"
"name10","idealistic","pos","-"
"name5","fashionable","pos","-"
" "," ","ITI","+"
"name2","cultured","pos","-"
" "," ","ITI","+"
" "," ","ITI","+"
"name9","social","pos","-"
"name3","energetic","pos","-"
" "," ","ITI","+"
"name3","cold","neg","-"
" "," ","ITI","+"
"name7","idealistic","pos","-"
" "," ","ITI","+"
"name10","happy","pos","-"
"SELF","level-headed","neg","-"
"name8","sad","neg","-"
"name10","pessimistic","neg","-"
"name7","lazy","neg","-"
"name7","humble","neg","-"
"name8","smart","pos","-"
" "," ","ITI","+"
"name9","agreeable","neg","-"
" "," ","ITI","+"
" "," ","ITI","+"
"SELF","pessimistic","neg","-"
"name6","smart","pos","-"
"name3","warm","pos","-"
"name2","happy","pos","-"
" "," ","ITI","+"
"name9","confident","pos","-"
"name7","outgoing","pos","-"
"name10","ambitious","pos","-"
" "," ","ITI","+"
"name7","interesting","pos","-"
" "," ","ITI","+"
"name3","humble","neg","-"
"name5","absent-minded","neg","-"
"name9","helpful","neg","-"
" "," ","ITI","+"
" "," ","ITI","+"
"SELF","overcritical","neg","-"
" "," ","ITI","+"
" "," ","ITI","+"
"name2","humble","neg","-"
" "," ","ITI","+"
"name9","temperamental","neg","-"
"name6","forgetful","neg","-"
" "," ","ITI","+"
" "," ","ITI","+"
"name9","cold","neg","-"
" "," ","ITI","+"
" "," ","ITI","+"
"name3","moody","neg","-"
"name2","enthusiastic","pos","-"
"name5","well-spoken","pos","-"
"name1","well-spoken","pos","-"
" "," ","ITI","+"
"SELF","happy","pos","-"
" "," ","ITI","+"
"name2","artistic","pos","-"
" "," ","ITI","+"
"name7","helpful","neg","-"
" "," ","ITI","+"
" "," ","ITI","+"
"name6","clumsy","neg","-"
" "," ","ITI","+"
"name10","impulsive","neg","-"
"name4","gossipy","neg","-"
"name5","competent","pos","-"
" "," ","ITI","+"
"name4","happy","pos","-"
"name2","entertaining","neg","-"
" "," ","ITI","+"
"name1","adventurous","pos","-"
"SELF","trustworthy","pos","-"
" "," ","ITI","+"
" "," ","ITI","+"
"name5","forgetful","neg","-"
" "," ","ITI","+"
"name8","outgoing","pos","-"
" "," ","ITI","+"
" "," ","ITI","+"
"name10","enthusiastic","pos","-"
" "," ","ITI","+"
"name7","gossipy","neg","-"
"name6","positive","pos","-"
" "," ","ITI","+"
" "," ","ITI","+"
" "," ","ITI","+"
" "," ","ITI","+"
" "," ","ITI","+"
" "," ","ITI","+"
" "," ","ITI","+"
