"target","word","valence","fix_sign"
"name8","absent-minded","neg","-"
"name7","nice","pos","-"
"name4","social","pos","-"
"name2","idealistic","pos","-"
" "," ","ITI","+"
"name1","idealistic","pos","-"
"name6","helpful","neg","-"
" "," ","ITI","+"
" "," ","ITI","+"
"SELF","moody","neg","-"
"SELF","ambitious","pos","-"
"name6","neurotic","neg","-"
"name10","lonely","neg","-"
" "," ","ITI","+"
"name6","friendly","pos","-"
"name2","warm","pos","-"
"SELF","forgetful","neg","-"
" "," ","ITI","+"
" "," ","ITI","+"
" "," ","ITI","+"
"name4","overcritical","neg","-"
" "," ","ITI","+"
"name9","pessimistic","neg","-"
" "," ","ITI","+"
"name4","confident","pos","-"
" "," ","ITI","+"
" "," ","ITI","+"
"SELF","absent-minded","neg","-"
" "," ","ITI","+"
" "," ","ITI","+"
"name8","ambitious","pos","-"
"name10","entertaining","neg","-"
" "," ","ITI","+"
"SELF","cultured","pos","-"
"name4","interesting","pos","-"
" "," ","ITI","+"
"name3","idealistic","pos","-"
" "," ","ITI","+"
"name1","gossipy","neg","-"
"name7","happy","pos","-"
" "," ","ITI","+"
"name10","punctual","pos","-"
"name8","impulsive","neg","-"
" "," ","ITI","+"
"name4","nice","pos","-"
" "," ","ITI","+"
"name6","happy","pos","-"
" "," ","ITI","+"
"name1","energetic","pos","-"
" "," ","ITI","+"
"name2","unproductive","neg","-"
" "," ","ITI","+"
"name1","positive","pos","-"
"name9","fashionable","pos","-"
"name5","helpful","neg","-"
"name8","nice","pos","-"
"name3","adventurous","pos","-"
"name2","ambitious","pos","-"
" "," ","ITI","+"
" "," ","ITI","+"
"name5","humble","neg","-"
" "," ","ITI","+"
"name8","tidy","pos","-"
" "," ","ITI","+"
"name9","cultured","pos","-"
" "," ","ITI","+"
"name3","confident","pos","-"
"name3","forgetful","neg","-"
"name10","helpful","neg","-"
" "," ","ITI","+"
" "," ","ITI","+"
" "," ","ITI","+"
"name8","forgetful","neg","-"
" "," ","ITI","+"
"name7","moody","neg","-"
"name2","moody","neg","-"
" "," ","ITI","+"
"name10","thoughtful","pos","-"
" "," ","ITI","+"
"name4","impulsive","neg","-"
" "," ","ITI","+"
"name2","gossipy","neg","-"
"name4","entertaining","neg","-"
"SELF","helpful","neg","-"
" "," ","ITI","+"
" "," ","ITI","+"
"name9","adventurous","pos","-"
"name10","sad","neg","-"
" "," ","ITI","+"
"name7","impulsive","neg","-"
" "," ","ITI","+"
"name1","helpful","neg","-"
" "," ","ITI","+"
" "," ","ITI","+"
" "," ","ITI","+"
"name1","lazy","neg","-"
" "," ","ITI","+"
"name9","humble","neg","-"
" "," ","ITI","+"
"name4","patient","neg","-"
"name7","temperamental","neg","-"
" "," ","ITI","+"
"SELF","tidy","pos","-"
"name10","trustworthy","pos","-"
" "," ","ITI","+"
" "," ","ITI","+"
"name7","positive","pos","-"
"name6","entertaining","neg","-"
" "," ","ITI","+"
"name1","ambitious","pos","-"
" "," ","ITI","+"
" "," ","ITI","+"
"name5","artistic","pos","-"
" "," ","ITI","+"
"name5","nice","pos","-"
"name3","lonely","neg","-"
" "," ","ITI","+"
"name5","lazy","neg","-"
"name9","lazy","neg","-"
"name10","well-spoken","pos","-"
" "," ","ITI","+"
"name6","fashionable","pos","-"
"name2","overcritical","neg","-"
" "," ","ITI","+"
"name5","happy","pos","-"
"name8","gossipy","neg","-"
"name2","thoughtful","pos","-"
" "," ","ITI","+"
"name7","ambitious","pos","-"
" "," ","ITI","+"
" "," ","ITI","+"
"name5","smart","pos","-"
"name6","cultured","pos","-"
" "," ","ITI","+"
"name5","agreeable","neg","-"
" "," ","ITI","+"
"SELF","warm","pos","-"
"name7","entertaining","neg","-"
" "," ","ITI","+"
"name3","smart","pos","-"
"name9","idealistic","pos","-"
" "," ","ITI","+"
" "," ","ITI","+"
"name1","entertaining","neg","-"
" "," ","ITI","+"
"name8","warm","pos","-"
"name3","patient","neg","-"
" "," ","ITI","+"
"name3","withdrawn","neg","-"
"name6","unproductive","neg","-"
"name9","overcritical","neg","-"
" "," ","ITI","+"
" "," ","ITI","+"
" "," ","ITI","+"
" "," ","ITI","+"
" "," ","ITI","+"
" "," ","ITI","+"
" "," ","ITI","+"
" "," ","ITI","+"
" "," ","ITI","+"
