"target","word","valence","fix_sign"
"name8","enthusiastic","pos","-"
" "," ","ITI","+"
"name6","energetic","pos","-"
"name4","well-spoken","pos","-"
" "," ","ITI","+"
" "," ","ITI","+"
"name4","positive","pos","-"
"name9","level-headed","neg","-"
"name8","interesting","pos","-"
"name10","artistic","pos","-"
" "," ","ITI","+"
"SELF","entertaining","neg","-"
" "," ","ITI","+"
"name10","level-headed","neg","-"
"name1","friendly","pos","-"
" "," ","ITI","+"
"name1","withdrawn","neg","-"
" "," ","ITI","+"
"name10","forgetful","neg","-"
"name8","idealistic","pos","-"
" "," ","ITI","+"
" "," ","ITI","+"
"name5","friendly","pos","-"
" "," ","ITI","+"
"name9","smart","pos","-"
" "," ","ITI","+"
"SELF","humble","neg","-"
" "," ","ITI","+"
"name6","interesting","pos","-"
"name10","smart","pos","-"
"name3","clumsy","neg","-"
" "," ","ITI","+"
"name3","cultured","pos","-"
"name3","absent-minded","neg","-"
"name7","friendly","pos","-"
" "," ","ITI","+"
" "," ","ITI","+"
"name2","confident","pos","-"
"name10","adventurous","pos","-"
"name9","clumsy","neg","-"
" "," ","ITI","+"
"name8","moody","neg","-"
" "," ","ITI","+"
"name7","well-spoken","pos","-"
"name2","agreeable","neg","-"
" "," ","ITI","+"
" "," ","ITI","+"
"name8","adventurous","pos","-"
" "," ","ITI","+"
"name4","thoughtful","pos","-"
"name3","social","pos","-"
" "," ","ITI","+"
"name6","nice","pos","-"
" "," ","ITI","+"
"name1","cultured","pos","-"
"name2","trustworthy","pos","-"
"name2","tidy","pos","-"
" "," ","ITI","+"
"name5","level-headed","neg","-"
"name7","trustworthy","pos","-"
"SELF","outgoing","pos","-"
" "," ","ITI","+"
"name10","overcritical","neg","-"
" "," ","ITI","+"
"name4","humble","neg","-"
"name2","absent-minded","neg","-"
"name5","punctual","pos","-"
" "," ","ITI","+"
"name6","impulsive","neg","-"
"name4","neurotic","neg","-"
" "," ","ITI","+"
"name5","interesting","pos","-"
"name6","trustworthy","pos","-"
" "," ","ITI","+"
" "," ","ITI","+"
" "," ","ITI","+"
"name1","tidy","pos","-"
"name7","clumsy","neg","-"
" "," ","ITI","+"
"name7","overcritical","neg","-"
" "," ","ITI","+"
"name4","enthusiastic","pos","-"
" "," ","ITI","+"
"name4","agreeable","neg","-"
" "," ","ITI","+"
"name2","smart","pos","-"
"name9","impulsive","neg","-"
" "," ","ITI","+"
"name7","thoughtful","pos","-"
"name6","level-headed","neg","-"
"name1","fashionable","pos","-"
" "," ","ITI","+"
" "," ","ITI","+"
" "," ","ITI","+"
"SELF","anxious","neg","-"
" "," ","ITI","+"
" "," ","ITI","+"
" "," ","ITI","+"
"name1","unproductive","neg","-"
" "," ","ITI","+"
"name10","friendly","pos","-"
"SELF","artistic","pos","-"
" "," ","ITI","+"
"name3","positive","pos","-"
" "," ","ITI","+"
" "," ","ITI","+"
"name1","moody","neg","-"
"name6","patient","neg","-"
"name9","positive","pos","-"
"name5","enthusiastic","pos","-"
" "," ","ITI","+"
" "," ","ITI","+"
"SELF","friendly","pos","-"
" "," ","ITI","+"
"name9","energetic","pos","-"
" "," ","ITI","+"
"name7","absent-minded","neg","-"
"name10","cold","neg","-"
"name9","neurotic","neg","-"
" "," ","ITI","+"
" "," ","ITI","+"
"name5","temperamental","neg","-"
" "," ","ITI","+"
"name3","tidy","pos","-"
"name2","lazy","neg","-"
" "," ","ITI","+"
"name7","anxious","neg","-"
" "," ","ITI","+"
" "," ","ITI","+"
"name8","neurotic","neg","-"
" "," ","ITI","+"
"name9","enthusiastic","pos","-"
" "," ","ITI","+"
"SELF","adventurous","pos","-"
"SELF","withdrawn","neg","-"
" "," ","ITI","+"
" "," ","ITI","+"
"name2","cold","neg","-"
" "," ","ITI","+"
"name6","humble","neg","-"
" "," ","ITI","+"
"name5","withdrawn","neg","-"
" "," ","ITI","+"
" "," ","ITI","+"
" "," ","ITI","+"
"name8","clumsy","neg","-"
"name8","lazy","neg","-"
"name3","entertaining","neg","-"
"name1","level-headed","neg","-"
"name5","entertaining","neg","-"
" "," ","ITI","+"
"name3","angry","neg","-"
"name4","angry","neg","-"
" "," ","ITI","+"
" "," ","ITI","+"
" "," ","ITI","+"
" "," ","ITI","+"
" "," ","ITI","+"
" "," ","ITI","+"
" "," ","ITI","+"
