"target","word","valence","fix_sign"
"name6","overcritical","neg","-"
"name4","cultured","pos","-"
" "," ","ITI","+"
"name5","unproductive","neg","-"
" "," ","ITI","+"
" "," ","ITI","+"
"name4","anxious","neg","-"
"name10","tidy","pos","-"
" "," ","ITI","+"
" "," ","ITI","+"
"name8","cultured","pos","-"
"name7","smart","pos","-"
"SELF","cold","neg","-"
"name10","cultured","pos","-"
" "," ","ITI","+"
"name5","positive","pos","-"
" "," ","ITI","+"
" "," ","ITI","+"
" "," ","ITI","+"
"name4","clumsy","neg","-"
" "," ","ITI","+"
"name2","punctual","pos","-"
"SELF","patient","neg","-"
"name7","cold","neg","-"
"name9","tidy","pos","-"
" "," ","ITI","+"
"name5","cultured","pos","-"
"name7","fashionable","pos","-"
"name3","anxious","neg","-"
"name6","well-spoken","pos","-"
"SELF","neurotic","neg","-"
" "," ","ITI","+"
"name6","withdrawn","neg","-"
" "," ","ITI","+"
" "," ","ITI","+"
"name7","competent","pos","-"
" "," ","ITI","+"
"name3","fashionable","pos","-"
"name2","temperamental","neg","-"
"name1","competent","pos","-"
"name9","forgetful","neg","-"
" "," ","ITI","+"
"name6","lazy","neg","-"
" "," ","ITI","+"
"name1","neurotic","neg","-"
" "," ","ITI","+"
"name6","adventurous","pos","-"
"name2","well-spoken","pos","-"
"name10","moody","neg","-"
"name9","friendly","pos","-"
"SELF","competent","pos","-"
" "," ","ITI","+"
" "," ","ITI","+"
"name2","energetic","pos","-"
" "," ","ITI","+"
"name2","anxious","neg","-"
"SELF","confident","pos","-"
" "," ","ITI","+"
"name4","adventurous","pos","-"
" "," ","ITI","+"
"name10","agreeable","neg","-"
" "," ","ITI","+"
" "," ","ITI","+"
"name4","pessimistic","neg","-"
"name3","interesting","pos","-"
"name9","unproductive","neg","-"
" "," ","ITI","+"
" "," ","ITI","+"
"name10","positive","pos","-"
" "," ","ITI","+"
" "," ","ITI","+"
"name5","outgoing","pos","-"
" "," ","ITI","+"
"name1","anxious","neg","-"
"name4","tidy","pos","-"
" "," ","ITI","+"
" "," ","ITI","+"
"name8","trustworthy","pos","-"
"name5","anxious","neg","-"
"name10","absent-minded","neg","-"
" "," ","ITI","+"
"name6","sad","neg","-"
" "," ","ITI","+"
" "," ","ITI","+"
" "," ","ITI","+"
"name1","social","pos","-"
" "," ","ITI","+"
" "," ","ITI","+"
"name8","helpful","neg","-"
"name3","helpful","neg","-"
" "," ","ITI","+"
"name2","clumsy","neg","-"
" "," ","ITI","+"
"name1","temperamental","neg","-"
" "," ","ITI","+"
" "," ","ITI","+"
" "," ","ITI","+"
"name9","ambitious","pos","-"
" "," ","ITI","+"
"name5","cold","neg","-"
"name8","lonely","neg","-"
"name5","energetic","pos","-"
"SELF","gossipy","neg","-"
"name8","agreeable","neg","-"
" "," ","ITI","+"
"name4","moody","neg","-"
"name9","sad","neg","-"
" "," ","ITI","+"
" "," ","ITI","+"
"name3","agreeable","neg","-"
" "," ","ITI","+"
"name9","trustworthy","pos","-"
" "," ","ITI","+"
"name7","enthusiastic","pos","-"
" "," ","ITI","+"
" "," ","ITI","+"
"name6","artistic","pos","-"
" "," ","ITI","+"
" "," ","ITI","+"
"name2","neurotic","neg","-"
" "," ","ITI","+"
"name5","lonely","neg","-"
"name8","artistic","pos","-"
"name6","confident","pos","-"
" "," ","ITI","+"
"name1","sad","neg","-"
"name7","patient","neg","-"
" "," ","ITI","+"
"name10","outgoing","pos","-"
" "," ","ITI","+"
"name4","idealistic","pos","-"
"name2","nice","pos","-"
"SELF","energetic","pos","-"
"name9","gossipy","neg","-"
"name7","angry","neg","-"
"name7","agreeable","neg","-"
" "," ","ITI","+"
"name1","thoughtful","pos","-"
" "," ","ITI","+"
" "," ","ITI","+"
"name3","friendly","pos","-"
"name10","withdrawn","neg","-"
"name8","entertaining","neg","-"
" "," ","ITI","+"
"SELF","thoughtful","pos","-"
"name8","punctual","pos","-"
" "," ","ITI","+"
" "," ","ITI","+"
"name3","competent","pos","-"
" "," ","ITI","+"
"name3","overcritical","neg","-"
"name1","confident","pos","-"
" "," ","ITI","+"
" "," ","ITI","+"
" "," ","ITI","+"
" "," ","ITI","+"
" "," ","ITI","+"
" "," ","ITI","+"
" "," ","ITI","+"
" "," ","ITI","+"
