"target","word","valence","fix_sign"
"name6","competent","pos","-"
"name3","artistic","pos","-"
"SELF","smart","pos","-"
"name6","enthusiastic","pos","-"
"name5","tidy","pos","-"
"name4","temperamental","neg","-"
" "," ","ITI","+"
"SELF","interesting","pos","-"
" "," ","ITI","+"
"name7","tidy","pos","-"
"name3","happy","pos","-"
" "," ","ITI","+"
"name7","neurotic","neg","-"
" "," ","ITI","+"
" "," ","ITI","+"
" "," ","ITI","+"
"name9","angry","neg","-"
"name1","punctual","pos","-"
" "," ","ITI","+"
"name4","punctual","pos","-"
"name2","outgoing","pos","-"
"name5","warm","pos","-"
" "," ","ITI","+"
"name3","lazy","neg","-"
"name8","temperamental","neg","-"
"SELF","enthusiastic","pos","-"
" "," ","ITI","+"
"name1","angry","neg","-"
"name4","cold","neg","-"
"name5","gossipy","neg","-"
" "," ","ITI","+"
"name2","patient","neg","-"
"name3","unproductive","neg","-"
"SELF","angry","neg","-"
" "," ","ITI","+"
"name8","pessimistic","neg","-"
"name4","energetic","pos","-"
"name10","nice","pos","-"
"name10","anxious","neg","-"
" "," ","ITI","+"
"name6","temperamental","neg","-"
" "," ","ITI","+"
" "," ","ITI","+"
" "," ","ITI","+"
"name10","confident","pos","-"
" "," ","ITI","+"
"name2","adventurous","pos","-"
" "," ","ITI","+"
"name1","forgetful","neg","-"
" "," ","ITI","+"
" "," ","ITI","+"
" "," ","ITI","+"
"name7","confident","pos","-"
" "," ","ITI","+"
"name10","angry","neg","-"
"name1","cold","neg","-"
"name9","anxious","neg","-"
" "," ","ITI","+"
"name9","patient","neg","-"
" "," ","ITI","+"
"name7","social","pos","-"
"name5","pessimistic","neg","-"
"name7","unproductive","neg","-"
" "," ","ITI","+"
"name7","withdrawn","neg","-"
" "," ","ITI","+"
"name10","interesting","pos","-"
"name5","confident","pos","-"
"name6","outgoing","pos","-"
" "," ","ITI","+"
"name5","idealistic","pos","-"
"name10","competent","pos","-"
" "," ","ITI","+"
" "," ","ITI","+"
"name2","level-headed","neg","-"
" "," ","ITI","+"
"name8","competent","pos","-"
"name6","thoughtful","pos","-"
" "," ","ITI","+"
" "," ","ITI","+"
"name4","warm","pos","-"
"SELF","lonely","neg","-"
" "," ","ITI","+"
" "," ","ITI","+"
"SELF","clumsy","neg","-"
"name9","well-spoken","pos","-"
" "," ","ITI","+"
"name4","lonely","neg","-"
" "," ","ITI","+"
"name10","clumsy","neg","-"
"name2","competent","pos","-"
"name1","nice","pos","-"
" "," ","ITI","+"
" "," ","ITI","+"
" "," ","ITI","+"
"name7","punctual","pos","-"
" "," ","ITI","+"
"SELF","lazy","neg","-"
" "," ","ITI","+"
"name9","interesting","pos","-"
" "," ","ITI","+"
" "," ","ITI","+"
" "," ","ITI","+"
"name7","lonely","neg","-"
"name3","pessimistic","neg","-"
" "," ","ITI","+"
"name6","anxious","neg","-"
" "," ","ITI","+"
"name2","helpful","neg","-"
" "," ","ITI","+"
"name8","fashionable","pos","-"
" "," ","ITI","+"
"name6","pessimistic","neg","-"
" "," ","ITI","+"
"name8","angry","neg","-"
" "," ","ITI","+"
" "," ","ITI","+"
"name2","sad","neg","-"
"name1","warm","pos","-"
"name2","fashionable","pos","-"
" "," ","ITI","+"
"name9","lonely","neg","-"
"name6","agreeable","neg","-"
" "," ","ITI","+"
"name5","sad","neg","-"
"SELF","nice","pos","-"
" "," ","ITI","+"
"name5","patient","neg","-"
" "," ","ITI","+"
" "," ","ITI","+"
" "," ","ITI","+"
"name3","thoughtful","pos","-"
"name4","smart","pos","-"
" "," ","ITI","+"
"name8","well-spoken","pos","-"
" "," ","ITI","+"
"name3","gossipy","neg","-"
" "," ","ITI","+"
"name4","forgetful","neg","-"
" "," ","ITI","+"
"name10","temperamental","neg","-"
" "," ","ITI","+"
"name8","withdrawn","neg","-"
"name9","artistic","pos","-"
"name1","clumsy","neg","-"
" "," ","ITI","+"
"name8","thoughtful","pos","-"
" "," ","ITI","+"
"name1","trustworthy","pos","-"
"name9","outgoing","pos","-"
" "," ","ITI","+"
"name3","punctual","pos","-"
" "," ","ITI","+"
" "," ","ITI","+"
" "," ","ITI","+"
" "," ","ITI","+"
" "," ","ITI","+"
" "," ","ITI","+"
" "," ","ITI","+"
" "," ","ITI","+"
