"target","word","valence","fix_sign"
"name8","friendly","pos","-"
" "," ","ITI","+"
"name7","pessimistic","neg","-"
" "," ","ITI","+"
"SELF","agreeable","neg","-"
"name1","impulsive","neg","-"
"name6","warm","pos","-"
" "," ","ITI","+"
"name10","unproductive","neg","-"
"name5","neurotic","neg","-"
"name7","sad","neg","-"
"name8","anxious","neg","-"
" "," ","ITI","+"
"name3","outgoing","pos","-"
"name3","ambitious","pos","-"
" "," ","ITI","+"
"name4","unproductive","neg","-"
" "," ","ITI","+"
"name8","happy","pos","-"
" "," ","ITI","+"
" "," ","ITI","+"
" "," ","ITI","+"
"name10","energetic","pos","-"
" "," ","ITI","+"
"name2","positive","pos","-"
" "," ","ITI","+"
"name6","ambitious","pos","-"
" "," ","ITI","+"
"name10","fashionable","pos","-"
" "," ","ITI","+"
"name6","angry","neg","-"
"name5","social","pos","-"
" "," ","ITI","+"
" "," ","ITI","+"
"name10","warm","pos","-"
" "," ","ITI","+"
"name1","artistic","pos","-"
"name2","forgetful","neg","-"
"name8","overcritical","neg","-"
" "," ","ITI","+"
" "," ","ITI","+"
"name9","entertaining","neg","-"
"name3","trustworthy","pos","-"
" "," ","ITI","+"
"name4","sad","neg","-"
" "," ","ITI","+"
"name7","forgetful","neg","-"
"name10","social","pos","-"
" "," ","ITI","+"
"name6","gossipy","neg","-"
" "," ","ITI","+"
"name7","level-headed","neg","-"
"name9","withdrawn","neg","-"
" "," ","ITI","+"
"name10","neurotic","neg","-"
" "," ","ITI","+"
"name8","positive","pos","-"
" "," ","ITI","+"
"SELF","positive","pos","-"
"name5","adventurous","pos","-"
"name10","gossipy","neg","-"
" "," ","ITI","+"
" "," ","ITI","+"
" "," ","ITI","+"
"name5","moody","neg","-"
" "," ","ITI","+"
"name3","level-headed","neg","-"
" "," ","ITI","+"
" "," ","ITI","+"
" "," ","ITI","+"
"name5","impulsive","neg","-"
"name2","interesting","pos","-"
"name3","temperamental","neg","-"
" "," ","ITI","+"
" "," ","ITI","+"
" "," ","ITI","+"
"name4","withdrawn","neg","-"
"name8","unproductive","neg","-"
" "," ","ITI","+"
"name1","humble","neg","-"
" "," ","ITI","+"
" "," ","ITI","+"
"SELF","impulsive","neg","-"
"name4","level-headed","neg","-"
"name7","cultured","pos","-"
"name9","happy","pos","-"
" "," ","ITI","+"
"SELF","punctual","pos","-"
" "," ","ITI","+"
"name4","ambitious","pos","-"
"name9","absent-minded","neg","-"
" "," ","ITI","+"
"name10","patient","neg","-"
"name2","social","pos","-"
" "," ","ITI","+"
" "," ","ITI","+"
"name1","pessimistic","neg","-"
" "," ","ITI","+"
"name4","outgoing","pos","-"
"name6","moody","neg","-"
"name7","artistic","pos","-"
"name8","level-headed","neg","-"
" "," ","ITI","+"
"SELF","unproductive","neg","-"
"name9","thoughtful","pos","-"
" "," ","ITI","+"
"name2","pessimistic","neg","-"
"name3","neurotic","neg","-"
"name6","absent-minded","neg","-"
"name3","well-spoken","pos","-"
" "," ","ITI","+"
"name5","angry","neg","-"
"SELF","idealistic","pos","-"
" "," ","ITI","+"
"name5","ambitious","pos","-"
"name9","nice","pos","-"
"name1","outgoing","pos","-"
"name4","friendly","pos","-"
" "," ","ITI","+"
" "," ","ITI","+"
" "," ","ITI","+"
"name7","energetic","pos","-"
" "," ","ITI","+"
"name2","friendly","pos","-"
"name7","warm","pos","-"
"name4","artistic","pos","-"
" "," ","ITI","+"
"name2","impulsive","neg","-"
"name5","thoughtful","pos","-"
" "," ","ITI","+"
"name1","interesting","pos","-"
" "," ","ITI","+"
"name9","moody","neg","-"
"name2","withdrawn","neg","-"
"name6","tidy","pos","-"
" "," ","ITI","+"
" "," ","ITI","+"
"name9","warm","pos","-"
"SELF","well-spoken","pos","-"
" "," ","ITI","+"
"name8","social","pos","-"
"SELF","temperamental","neg","-"
" "," ","ITI","+"
" "," ","ITI","+"
" "," ","ITI","+"
"name3","impulsive","neg","-"
" "," ","ITI","+"
"name6","punctual","pos","-"
" "," ","ITI","+"
"name1","absent-minded","neg","-"
"name1","happy","pos","-"
" "," ","ITI","+"
" "," ","ITI","+"
" "," ","ITI","+"
" "," ","ITI","+"
" "," ","ITI","+"
" "," ","ITI","+"
" "," ","ITI","+"
" "," ","ITI","+"
" "," ","ITI","+"
